Latitude,Longitude,Name,Description,Icon
4.8868,97.496,,,
4.8925,97.5021,,,
4.8902,97.5067,,,
4.8875,97.5065,,,
4.8879,97.5017,,,
4.8843,97.4999,,,
4.8812,97.4954,,,
4.8747,97.4974,,,
4.8794,97.5033,,,
4.8852,97.5064,,,
4.8849,97.5098,,,
4.8823,97.5117,,,
4.8803,97.5079,,,
4.8759,97.5052,,,
4.8755,97.5021,,,
4.8704,97.5005,,,
4.8708,97.4976,,,
4.8671,97.4946,,,
4.8668,97.4886,,,
4.8554,97.4893,,,
4.8455,97.484,,,
4.8387,97.4769,,,
4.8396,97.4747,,,
4.8441,97.4735,,,
4.8383,97.4718,,,
4.837,97.4695,,,
4.838,97.4676,,,
4.8403,97.47,,,
4.8428,97.4697,,,
4.8428,97.4672,,,
4.8397,97.4636,,,
4.8412,97.4618,,,
4.8448,97.4618,,,
4.8461,97.4591,,,
4.8355,97.4523,,,
4.8318,97.4425,,,
4.8289,97.4414,,,
4.8277,97.4502,,,
4.8229,97.4564,,,
4.8208,97.4566,,,
4.8187,97.4531,,,
4.8217,97.4368,,,
4.82,97.4354,,,
4.8119,97.4378,,,
4.8083,97.4353,,,
4.8078,97.4294,,,
4.8058,97.4284,,,
4.7975,97.4331,,,
4.7954,97.436,,,
4.7886,97.4365,,,
4.7859,97.4332,,,
4.7854,97.4255,,,
4.782,97.4205,,,
4.78,97.4115,,,
4.7828,97.4074,,,
4.7846,97.4074,,,
4.7872,97.4104,,,
4.7874,97.4184,,,
4.7898,97.4188,,,
4.796,97.4123,,,
4.7946,97.4061,,,
4.7895,97.4035,,,
4.7668,97.3999,,,
4.7633,97.4032,,,
4.7625,97.4093,,,
4.7685,97.4147,,,
4.7686,97.4171,,,
4.7647,97.4224,,,
4.7549,97.4244,,,
4.7595,97.4151,,,
4.7594,97.4111,,,
4.7559,97.4071,,,
4.7554,97.404,,,
4.7596,97.3992,,,
4.7601,97.388,,,
4.7674,97.3879,,,
4.7689,97.3862,,,
4.7689,97.3691,,,
4.7667,97.3654,,,
4.7671,97.3613,,,
4.7691,97.3608,,,
4.7783,97.366,,,
4.7818,97.3656,,,
4.7834,97.3635,,,
4.8743,97.3706,,,
4.8736,97.384,,,
4.8786,97.3995,,,
4.8852,97.4031,,,
4.8901,97.4129,,,
4.8963,97.4133,,,
4.9137,97.4341,,,
4.9314,97.4407,,,
4.9354,97.452,,,
4.9412,97.4514,,,
4.9481,97.4585,,,
4.9625,97.4656,,,
4.9679,97.4738,,,
4.9775,97.4761,,,
4.9847,97.4738,,,
4.9994,97.4804,,,
5.0517,97.4878,,,
5.0528,97.4853,,,
5.0605,97.4872,,,
5.0637,97.4817,,,
5.068,97.4785,,,
5.0715,97.4798,,,
5.0777,97.4755,,,
5.0871,97.4796,,,
5.0793,97.4834,,,
5.0779,97.4864,,,
5.0788,97.4885,,,
5.0815,97.4878,,,
5.0861,97.4906,,,
5.0871,97.4941,,,
5.0817,97.4974,,,
5.0777,97.4951,,,
5.075,97.4912,,,
5.0716,97.4917,,,
5.0734,97.4963,,,
5.0781,97.4993,,,
5.0783,97.501,,,
5.0685,97.4985,,,
5.0694,97.506,,,
5.0747,97.5058,,,
5.0753,97.5076,,,
5.0731,97.5096,,,
5.068,97.5088,,,
5.0702,97.5136,,,
5.0657,97.5154,,,
5.0569,97.5148,,,
5.0592,97.5132,,,
5.0646,97.5145,,,
5.0659,97.513,,,
5.0654,97.5099,,,
5.0621,97.5068,,,
5.0592,97.5073,,,
5.0565,97.5116,,,
5.0516,97.5138,,,
5.0502,97.5119,,,
5.0549,97.5056,,,
5.0511,97.498,,,
5.0497,97.4978,,,
5.0473,97.5054,,,
5.0457,97.5053,,,
5.0433,97.5002,,,
5.0386,97.4999,,,
5.038,97.5033,,,
5.0442,97.5063,,,
5.0442,97.5076,,,
5.0309,97.5146,,,
5.0292,97.5135,,,
5.0291,97.5071,,,
5.0225,97.5065,,,
5.0173,97.5029,,,
5.0164,97.4955,,,
5.0141,97.4934,,,
5.0107,97.4955,,,
5.0128,97.5011,,,
5.0116,97.5042,,,
5.0056,97.5054,,,
5.0025,97.502,,,
5.0002,97.5024,,,
4.9982,97.5074,,,
4.9965,97.5081,,,
4.9914,97.5017,,,
4.9912,97.4975,,,
4.983,97.4978,,,
4.9789,97.4912,,,
4.9759,97.4932,,,
4.9776,97.497,,,
4.9767,97.4993,,,
4.9703,97.4994,,,
4.9676,97.5018,,,
4.9648,97.5005,,,
4.9641,97.4983,,,
4.9674,97.4961,,,
4.9677,97.4942,,,
4.9637,97.4925,,,
4.9635,97.4884,,,
4.9611,97.4851,,,
4.9591,97.4867,,,
4.9599,97.4901,,,
4.957,97.4967,,,
4.9609,97.5028,,,
4.9595,97.5049,,,
4.9579,97.5044,,,
4.9551,97.4989,,,
4.9476,97.4971,,,
4.9474,97.492,,,
4.9415,97.4874,,,
4.9451,97.4839,,,
4.941,97.4775,,,
4.9478,97.4754,,,
4.9475,97.4719,,,
4.9416,97.4735,,,
4.9297,97.4676,,,
4.9267,97.4717,,,
4.9234,97.4734,,,
4.9172,97.4658,,,
4.9134,97.4673,,,
4.9199,97.472,,,
4.9211,97.4769,,,
4.92,97.4793,,,
4.9178,97.4781,,,
4.9181,97.4736,,,
4.9151,97.4733,,,
4.913,97.4747,,,
4.9143,97.4781,,,
4.9112,97.4797,,,
4.9098,97.4877,,,
4.9051,97.4835,,,
4.9023,97.4837,,,
4.9066,97.4906,,,
4.9011,97.4919,,,
4.9004,97.4961,,,
4.8979,97.4991,,,
4.8948,97.4987,,,
4.8885,97.4928,,,
4.8863,97.4932,,,
4.8868,97.496,,,
